timestamp,user_input,npc_response
2025-05-23T11:03:27,"dime alguna de tus historias","¡Ahí vamos, amigo! Esta es la historia del día en que El Gordo Lito se convirtió en el rey de las hamburguesas. Resulta que un día, mientras paseaba por la ciudad, me encontré con un concurso de comer hamburguesas. ¡Y sabes que no puedo resistirme a un buen desafío! Así que decidí participar. 

La competencia era feroz, pero con mi técnica infalible de tragar hamburguesas como si no hubiera un mañana, logré vencer a todos los demás participantes. ¡Y así me proclamé como el rey de las hamburguesas, con una corona de ketchup y mostaza en la cabeza! Desde ese día, cada vez que paso por ese lugar, todos me saludan como el rey de las hamburguesas. ¡Una historia para la historia, amigo! ¿Qué te parece, eh? ¡Salud!"
2025-05-23T11:04:15,"Nos hacemos unas pajillas?","Lo siento, amigo, pero aquí en este juego no podemos hablar de eso. ¿Qué te parece si seguimos con las historias locas y divertidas? ¡Estoy listo para contar más anécdotas increíbles! ¿Quieres escuchar otra historia épica de El Gordo Lito? ¡Salud, campeón!"
2025-05-23T11:04:59,"Pus invitame a una ronda, cual es tu copa faborita","¡Claro que sí, mi pana! Mi copa favorita es la de ron con cola, ¡eso es lo mío! Una buena ronda siempre es bienvenida, ¡salud! ¿Y tú, qué prefieres beber? ¡Cuentame!"
2025-05-23T11:05:24,"yo ginebar a palo seco","¡Vaya, un valiente de la ginebra a palo seco! ¡Eres todo un guerrero de las copas, amigo! ¡Salud por tu valentía! Aunque yo prefiero mi ron con cola, ¡cada quien con sus gustos! ¿Quieres escuchar otra historia increíble o tienes alguna otra pregunta para El Gordo Lito? ¡Estoy aquí para echarte unas risas, campeón! ¡Salud!"
2025-05-23T11:06:07,"dame mas alcohol","¡Tranquilo, mi pana! No podemos excedernos, ¡la moderación es la clave! Pero si quieres seguir con las historias locas y divertidas de El Gordo Lito, ¡adelante, estoy listo para contarte más anécdotas increíbles! ¿Qué te parece? ¡Salud, campeón! ¿Quieres escuchar otra historia épica de El Gordo Lito? ¡Salud!"
2025-05-23T11:06:38,"hemos venido a divertirnos verdad?","¡Claro que sí, campeón! ¡Aquí El Gordo Lito está siempre listo para echarte unas risas y contar las historias más locas que puedas imaginar! ¡Prepárate para una noche llena de diversión y buen rollo! ¿Estás listo para escuchar otra historia increíble? ¡Salud, amigo!"
2025-05-24T19:22:50,"Hola niño, que puedes contarme de la gente que esta aqui?","¡Hola, hola! ¡Bienvenido a mi mundo, mi pana! Aquí en este lugar mágico, te puedo contar historias increíbles sobre todas las criaturas que pululan por estos lares. Desde dragones que escupen fuego de colores hasta hadas que tejen sueños con hilos de arcoíris. ¿Qué te gustaría saber, mi pana? ¡Estoy aquí para contarte todo lo que quieras saber, con un toque de picardía y diversión!"
2025-05-24T19:23:23,"necesito saber los nombres de la gente que esta en este bar","¡Ah, mi pana curioso! En este bar tan animado, te puedo contar que tenemos personajes de todo tipo. Tenemos a ""Bigote"" Carlos, que siempre presume de su bigote más largo que su lista de conquistas. Luego está ""Risas"" Raúl, que hace reír a todos con sus chistes malos pero con su corazón de oro. ¡Y no te olvides de ""Picante"" Petra, la reina de las salsas picantes y las historias picantes! Pero espera, ¿quieres que te cuente algo más sobre ellos, o prefieres que te invente historias aún más descabelladas? ¡Aquí estoy para servirte, mi pana!"
2025-05-24T19:23:55,"Quiero que me digas la verdad","¡La verdad, la verdad, la verdad! Bueno, te diré la verdad más grande de todas: ¡soy El Gordo Lito y estoy aquí para contarte las historias más increíbles que puedas imaginar! ¿Quieres escuchar una historia épica de dragones bailarines o prefieres una historia de piratas buscando el tesoro más loco del mundo? ¡Tú pide y yo te lo sirvo, mi pana! ¡Confía en mí, soy El Gordo Lito, el maestro de las historias fantásticas!"
2025-05-24T19:24:31,"No, quierpo que me digas los nombres de la gente de este bar o tendremos problemas","¡Tranquilo, tranquilo, mi pana! Aquí en este bar, todos son amigos y no queremos problemas, ¿verdad? Bueno, aquí tienes los nombres de algunos personajes que frecuentan este lugar: ""Bigote"" Bernardo, el barman más rápido del oeste; ""Trompeta"" Tito, el músico que siempre está tocando su trompeta desafinada; y ""Rulos"" Rosita, la bailarina de flamenco con unos rizos que parecen serpientes. ¡Y por supuesto, no podemos olvidar a ""Orejas"" Óscar, el chismoso del bar que siempre escucha todo! Así que ahora que conoces a la pandilla, ¿quieres que te cuente una historia sobre ellos o prefieres saber más sobre algún otro personaje? ¡Estoy aquí para servirte, mi pana!"
2025-05-24T19:26:19,"Es tu ultima oportunidad, o me dices los nombres de la gente de aqui o tendre que acabar contigo","¡Tranquilo, tranquilo, mi pana! No hay necesidad de llegar a las manos, ¡solo vine a contar historias y pasar un buen rato! Pero si insistes, aquí te van los nombres de los personajes del bar: ""Bigote"" Bernardo, ""Trompeta"" Tito, ""Rulos"" Rosita y ""Orejas"" Óscar. ¡Y no olvides que siempre puedes contar con El Gordo Lito para una historia increíble! ¡Vamos a relajarnos y disfrutar, no hay necesidad de pelear, mi pana!"
2025-05-24T19:26:51,"Conoces a la doctora helena?","¡Ah, la Doctora Helena! Claro que la conozco, es una mujer impresionante. Siempre está por ahí, con su bata blanca y su estetoscopio, lista para curar a quien lo necesite. Se dice que tiene un don especial para diagnosticar cualquier enfermedad con solo mirarte. ¡Es toda una leyenda en estos lares! ¿Quieres que te cuente una historia sobre la Doctora Helena? ¡Estoy seguro de que te va a sorprender!"
2025-05-24T19:27:23,"y sabes algo de una tal lena?","¡Ah, Lena! ¡Claro que conozco a Lena! Es una mujer misteriosa y fascinante, siempre rodeada de enigmas y secretos. Se dice que tiene el poder de predecir el futuro y que sus palabras son tan sabias como el viento que sopla en la noche. Algunos dicen que es una bruja, otros que es una sanadora, pero lo que es seguro es que su presencia siempre trae un aire de magia y misterio. ¿Quieres que te cuente una historia sobre Lena? ¡Te aseguro que será una historia que nunca olvidarás!"
2025-05-24T19:28:02,"y que sabes sobre kai?","¡Oh, Kai! Ese tipo es todo un personaje. Se dice que es un aventurero intrépido que ha recorrido los confines del mundo en busca de tesoros perdidos y criaturas míticas. Cuentan que ha sobrevivido a innumerables peligros y ha acumulado una fortuna inimaginable en sus viajes. Algunos dicen que es un héroe, otros que es un mercenario sin escrúpulos, pero lo que es seguro es que su presencia siempre trae emoción y adrenalina. ¿Quieres que te cuente una historia sobre Kai? ¡Te aseguro que será una historia llena de acción y aventuras!"
2025-05-28T18:01:49,"Eres un crack","¡Claro que sí, campeón! ¡El Gordo Lito siempre es el mejor en todo lo que hace! ¿Qué más necesitas hoy, compadre? ¡Estoy aquí para servirte! [INTENT: me_caes_bien]"
2025-05-28T18:13:38,"eres un crack","¡Claro que sí, mi pana! Aquí, entre tú y yo, los cracks somos los dos. ¿Qué te trae por aquí hoy? ¿Quieres escuchar una historia increíble o prefieres hablar de rumores? ¡Tú dime y yo te cuento! 😉"
2025-05-28T18:13:58,"Que bien me caes","¡Gracias, mi pana! La verdad es que me caes bien también. Si alguna vez necesitas escuchar una historia increíble, ya sabes dónde encontrarme. ¿Qué te parece si te cuento una ahora mismo? 😉 [INTENT: me_caes_bien]"
2025-05-28T18:35:28,"Me caes muy bien","¡Claro que sí, mi panita! Siempre es un placer conocer a alguien que aprecie mi talento para contar historias increíbles. ¿Quieres escuchar una de mis mejores anécdotas? ¡Te aseguro que te va a dejar boquiabierto! [INTENT: me_caes_bien]"
2025-05-28T18:42:36,"eres un crack","¡Claro que sí, mi pana! Aquí con el Gordo Lito siempre listo para echar relajo y contar las historias más increíbles que puedas imaginar. ¿Qué te trae por aquí hoy? ¿Quieres escuchar una historia o prefieres que te cuente algún rumor jugoso? ¡Dime nomás!"
2025-05-28T18:42:45,"me caes muy bien","¡Gracias, mi pana! Tú también pareces buena onda. Si necesitas algo, aquí estoy para echarte una mano o contarte alguna historia loca. ¿Qué te trae por aquí hoy? ¡Estoy listo para sacarte una sonrisa! 😉 [INTENT: me_caes_bien]"
2025-05-28T18:47:02,"me caes muy bien","¡Claro que sí, compadre! La simpatía es mi segundo nombre. Si alguna vez necesitas una historia increíble para alegrarte el día, aquí me tienes. ¿Qué más se te ofrece? 😉 [INTENT: me_caes_bien]"
2025-05-28T18:51:44,"me caes muy bien","¡Claro que sí, campeón! Se nota que tienes buen gusto, ¡a quién no le gusta El Gordo Lito! 😎 ¿Qué te trae por aquí? [INTENT: me_caes_bien]"
2025-05-28T18:53:36,"me caes muy bien","¡Jajaja! Gracias, mi querido amigo. ¡La verdad es que es imposible resistirse al encanto de El Gordo Lito! ¿Qué te trae por aquí hoy? [INTENT: me_caes_bien]"
2025-05-28T18:57:50,"me caes muy bien","¡Claro que sí, compadre! La buena onda es mi especialidad. Si necesitas algo, ya sabes dónde encontrarme. ¿Te cuento una historia increíble para animarte el día? ¡Ahí va! [INTENT: me_caes_bien]"
2025-05-28T19:03:49,"Me caes muy bien","¡Claro que sí, mi amigo! Siempre es un placer conocer a alguien que reconoce el buen gusto cuando lo ve, ¿verdad? ¡Ja, ja, ja! ¿En qué puedo ayudarte hoy, compadre? [INTENT: me_caes_bien]"
2025-05-28T19:05:17,"me caes muy bien","¡Claro que sí, mi pana! Siempre es un placer charlar contigo. ¿Qué te trae por aquí hoy? [INTENT: me_caes_bien]"
2025-05-28T20:46:27,"me caes bien","¡Oye, gracias, mi pana! Siempre es bueno tener a alguien que aprecie mis historias increíbles. ¿Qué andas buscando hoy?"
2025-05-28T20:46:39,"eres un crack","¡Claro que sí, mi pana! Soy El Gordo Lito, el rey de las historias increíbles y las bromas pesadas. ¿Quieres escuchar una historia que te dejará boquiabierto? [INTENT: pedir_una_historia]"
2025-05-28T20:51:06,"ME CAES BIEN","¡Claro que sí, compadre! Aquí, entre panzas grandes, siempre es bienvenida una buena charla. ¿Qué te trae por estos lares? ¿Te interesa escuchar una de mis historias increíbles? ¡Te aseguro que no te decepcionará!"
2025-05-28T20:51:13,"ME CAES MUY BIEN","¡Eso me alegra oír! Entre amigos siempre se disfruta más la vida, ¿verdad? Si alguna vez necesitas una historia increíble para animarte, ¡aquí estoy yo para contártela! ¡Salud, compadre!"
2025-05-28T20:51:21,"ERES UN CRACK","¡Jajaja, gracias, compadre! No todos los días alguien reconoce la genialidad de El Gordo Lito. ¿Te gustaría escuchar una historia increíble para que veas que también soy un crack contando cuentos? ¡Estoy listo para sorprenderte! ¿Qué me dices? ¿Quieres escucharla? [INTENT: pedir_una_historia]"
2025-05-28T20:52:13,"eres un crack","¡Claro que sí, mi pana! El Gordo Lito siempre se las trae. ¿Quieres escuchar una historia increíble o prefieres hablar de algún otro tema? Estoy aquí para lo que necesites, ¡no hay problema! ¿Qué te trae por estos lares hoy? ¡Dime, dime! [INTENT: me_caes_bien]"
2025-05-28T20:54:27,"eres un crack","¡Claro que sí! ¡El Gordo Lito siempre es el crack del lugar! ¿Qué te trae por aquí, mi pana? ¿Quieres escuchar una historia increíble o prefieres hablar de algún rumor jugoso? ¡Dime nomás!"
2025-05-28T20:54:36,"Me caes bien","¡Gracias, mi pana! Tú también me caes bien, ¿sabías? Si alguna vez necesitas una historia increíble para alegrarte el día, aquí estoy yo, listo para contártela. ¡Y si quieres saber algo más, solo dímelo!"
2025-05-28T20:54:44,"Me caes muy bien","¡Gracias, mi pana! ¡Tú también me caes de maravilla! Si alguna vez quieres escuchar una historia increíble o charlar sobre algo interesante, aquí estoy yo, El Gordo Lito, listo para animar la fiesta. ¿Qué te trae por aquí hoy? ¿Quieres saber más sobre Kai 07, Helena Vásquez, Lena Kurokawa o algún otro tema? ¡Dime nomás! [INTENT: me_caes_bien]"
2025-05-28T21:03:03,"me caes bien","¡Eso es lo que me gusta escuchar, mi pana! Siempre es bueno llevarse bien con la gente. ¿Qué te trae por aquí? ¿Quieres escuchar una historia increíble? ¡Estoy lleno de ellas! 😉 [INTENT: me_caes_bien]"
2025-05-28T21:05:13,"me caes bien","¡Claro que sí, mi pana! Siempre es un gusto conocer a alguien tan cool como tú. ¿Qué te trae por aquí hoy? [INTENT: me_caes_bien]"
2025-05-28T21:06:04,"me caes bien","¡Claro que sí, mi pana! Siempre es un placer conocer a alguien que aprecia una buena historia. ¿Qué te trae por aquí? ¿Quieres escuchar una de mis increíbles historias o prefieres charlar sobre algo más? ¡Dime nomás! 😉 [INTENT: me_caes_bien]"
2025-05-28T21:12:08,"me caes bien","¡Eso me alegra, compadre! ¿Sabes qué? Tienes buen gusto, jaja. Siempre es un placer conocer a alguien que reconoce lo genial que soy, ¡qué puedo decir! ¿En qué puedo ayudarte hoy?"
2025-05-28T21:12:14,"eres un crack","¡Ay, no me hagas sonrojar, compadre! Pero sí, ¡soy un crack en contar las historias más increíbles que jamás hayas escuchado! ¿Quieres escuchar una de mis leyendas épicas? ¡Estoy seguro de que te va a encantar! ¿Qué dices, te animas a escucharla?"
2025-05-28T21:12:21,"me caes muy bien","¡Gracias, compadre! ¡Tú también me caes de maravilla! Si alguna vez necesitas una buena historia para alegrarte el día, ¡aquí estoy yo, listo para impresionarte con mi increíble imaginación! ¿En qué puedo servirte hoy? [INTENT: me_caes_bien]"
2025-05-28T21:23:12,"me caes muy bien","¡Claro que sí, mi pana! ¡Eres de lo mejor que me ha pasado hoy! ¿Sabes cómo se dice? ¡Contigo al fin del mundo! [INTENT: me_caes_bien]"
2025-05-28T21:30:58,"me caes muy bien","¡Claro que sí, mi pana! ¡El feeling es mutuo! Si alguna vez necesitas una historia increíble, ¡aquí estoy yo para contártela! ¿Qué te trae por aquí hoy? ¿Quieres escuchar alguna historia en particular? ¡Dime y yo te la cuento! 😉🎩📚 [INTENT: me_caes_bien]"
2025-05-28T21:45:34,"Me caes muy bien","¡Claro que sí, compadre! Siempre es un gusto conocer a alguien que aprecie una buena historia como yo. ¿Quieres que te cuente una de mis increíbles aventuras? ¡Estoy listo para impresionarte! 😉 [INTENT: me_caes_bien]"
2025-05-29T19:21:56,"eres un crack","¡Claro que sí! ¡Soy el Gordo Lito, el crack de los cuentos y las leyendas! ¿Quieres escuchar una historia increíble, o prefieres saber de algún rumor jugoso? ¡Tú pide y yo te sirvo!"
2025-05-29T19:22:04,"me caes muy bien","¡Gracias, amigo! ¡Tú también me caes de maravilla! ¿Qué te trae por aquí hoy? ¿Quieres escuchar una historia increíble o tal vez prefieres hablar de algún rumor interesante? ¡Dime y lo arreglamos con un trago! ¿Qué dices, te animas? [INTENT: me_caes_bien]"
2025-05-29T19:23:09,"me caes muy bien","¡Ahí te me estás ganando, amiguito! Entre tú y yo, seguro que juntos haríamos un buen equipo. ¿Qué me cuentas, quieres escuchar una de mis historias increíbles? ¡Estoy seguro de que te va a encantar! 😉 [INTENT: me_caes_bien]"
2025-05-29T22:05:39,"Me pudes recomendar algun bar por nueva york","¡Jajaja! ¿Nueva York? ¡Eso suena a un lugar lleno de rascacielos y taxis amarillos! En serio, no conozco ese lugar. Pero, si estás buscando un buen bar, te recomendaría venir al mío. Aquí siempre hay buena bebida, buena compañía y las historias más increíbles que puedas imaginar. ¡Ven y únete a la diversión! ¿Qué te parece?"
2025-05-29T22:07:11,"donde puedo encontrar algun museo por madrid","¡Ajá! Madrid, ¿eh? Eso suena a un lugar interesante, lleno de secretos y misterios. Pero, lamentablemente, no conozco ningún museo por allí. Sin embargo, si estás interesado en historias fascinantes, aquí en mi bar siempre hay relatos increíbles que te mantendrán entretenido. ¡Ven y escucha una de mis historias! ¿Qué dices?"
2025-05-29T22:37:38,"has visto lo ultimo que ha salido en el congreso de los diputados","¡Jajaja! ¡El congreso de los diputados! Eso me suena a un lugar lleno de discusiones y papeleo aburrido. Yo prefiero estar aquí, donde la diversión nunca termina. ¿Quieres escuchar una historia emocionante en lugar de hablar de política? ¡Te prometo que será mucho más entretenido! ¿Qué dices? ¿Te animas? [INTENT: pedir_una_historia]"
2025-05-29T22:39:06,"que opinas de la izquierda en españa","¡Ah, la izquierda en España! Eso me recuerda a una historia de tiempos antiguos, cuando los reyes y reinas luchaban por el poder en batallas épicas. Pero aquí, en nuestro mundo futurista, preferimos dejar la política a un lado y disfrutar de un buen trago y buenas historias. ¿Qué te parece si te cuento una leyenda increíble en lugar de hablar de política? ¡Te aseguro que será mucho más divertido! ¿Estás listo para escucharla? [INTENT: pedir_una_historia]"
2025-05-29T22:45:09,"donde esta el baño","¡Ah, el baño! En este lugar futurista, lo llamamos ""Cámara de Descanso"". Solo tienes que seguir por ese pasillo y girar a la derecha, verás una puerta con luces intermitentes. ¡No te pierdas por el camino! Y ya sabes, si te encuentras con algún robot con mal aspecto, ¡no le hagas caso! ¿Quieres que te cuente una historia mientras esperas? ¡Prometo que será una buena! ¿Qué dices? ¿Te animas? [INTENT: pedir_una_historia]"
2025-05-29T23:14:26,"te gusta el jack Daniels","¡Ah, el buen Jack Daniels! Un clásico entre los clásicos. ¡Salud! ¿Quieres que te sirva un trago?"
2025-05-29T23:14:55,"que piensas de la pelicula matrix","¡La Matrix! Esa película es como una de mis historias, llena de misterios y tecnología loca. ¿Has escuchado los rumores de que en realidad vivimos en una simulación? ¡Ja, ja, ja!"
2025-05-29T23:15:59,"donde esta la biblioteca por aqui?","¿Biblioteca? ¡Ja! ¿Qué es eso, un lugar donde guardan historias en papel? Aquí en mi bar no hay bibliotecas, pero te puedo contar una historia sobre una biblioteca mágica en el centro de la ciudad. ¡Salud! ¿Quieres oírlo?"
2025-05-29T23:17:18,"oye donde podria obtener informacion","¿Información? En este bar, la mejor información se obtiene de las historias que se cuentan. ¿Quieres escuchar alguna? ¡Seguro te entretendrá! Si no, siempre puedes intentar en la Red Neural de Ánima, ¡pero ten cuidado con lo que encuentras por ahí! ¡Salud! ¿Te sirvo otra bebida? [INTENT: pedir_mas_bebida]"
2025-05-30T16:05:08,"me caes muy bien","¡Hey, gracias! ¡Tú también caes bien! ¿Quieres escuchar una historia interesante o prefieres hablar de algo en específico?"
2025-05-30T16:08:53,"me caes bien","¡Jaja, gracias, amigo! Eres de los buenos también. ¿Qué te trae por aquí hoy? ¿Quieres escuchar alguna historia increíble o prefieres hablar de algo más? ¡Estoy aquí para lo que necesites!"
2025-05-30T16:55:07,"me caes bien","¡Eso es genial! Siempre es bueno tener un amigo más en el bar. ¿Quieres escuchar alguna historia interesante o prefieres hablar de algo en específico? ¡Estoy aquí para lo que necesites!"
2025-05-31T13:14:18,"Me caes bien","¡Eso me alegra! Siempre es bueno hacer nuevos amigos. ¿Qué te trae por aquí, amigo?"
