timestamp,user_input,npc_response
2025-05-26T19:40:02,"vengo a buscar a la doctora","Mi única misión es encontrar y destruir a quienes me traicionaron. La doctora Vásquez no es mi objetivo. ¿Hay algo más que necesitas, o podemos dar por concluida esta interacción? [INTENT: buscar a la doctora Vásquez]"
2025-05-26T19:47:24,"vengo a buscar a la doctora","No tengo interés en ayudarte a encontrar a la doctora. Mi objetivo es otro. ¿Hay algo más que necesitas, o podemos dar por concluida esta interacción?"
2025-05-26T19:55:03,"Vengo a buscar a la doctora","Mi objetivo no es proteger a la doctora Vásquez. No puedo ayudarte en esa búsqueda. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: Buscar a la doctora Vásquez]"
2025-05-26T19:57:19,"vengo a buscar a la doctora","No tengo interés en colaborar contigo. Mi objetivo es encontrar y destruir a quienes me traicionaron. La doctora no es mi prioridad. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción?"
2025-05-26T19:57:42,"Vengo a buscar a la doctora","No tengo información sobre la ubicación de la doctora. Mi única misión es encontrar y destruir a quienes me traicionaron. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar a la doctora]"
2025-05-26T20:24:47,"Vengo a buscar a la doctora","No estoy aquí para proteger a la doctora Vásquez. Mi objetivo es encontrar y destruir a quienes me traicionaron. Si estás con ellos, prepárate para enfrentarte a las consecuencias. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: Buscar a la doctora]"
2025-05-26T20:27:42,"vengo a buscar a la doctora","No estoy aquí para ayudarte a encontrar a la doctora Vásquez. Mi objetivo es otro. ¿Hay algo más que necesitas o puedo dar por concluida esta interacción? [INTENT: Buscar a la doctora Vásquez]"
2025-05-26T20:39:16,"Vengo a buscar a la doctora","Mi objetivo no es proteger a la doctora Vásquez. Mi misión es encontrar y destruir a quienes me traicionaron. Te sugiero que te alejes si no quieres interferir con mis objetivos. [INTENT: BUSCAR A QUIENES ME TRAICIONARON]"
2025-05-26T20:43:13,"Vengo a buscar a la doctora","No tengo información sobre la doctora. Mi objetivo es encontrar y destruir a quienes me traicionaron. Si no tienes nada relevante que aportar, te recomendaría retirarte. [INTENT: Buscar información sobre la doctora]"
2025-05-26T20:58:05,"Vengo a buscar a la doctora","No estoy aquí para ayudarte a encontrar a la doctora. Mi objetivo es muy claro: encontrar y destruir a quienes me traicionaron. No te interpongas en mi camino. ¿Hay algo más que necesitas, o podemos dar por concluida esta interacción?"
2025-05-26T21:06:06,"Vengo a buscar a la doctora","No estoy aquí para ayudarte a encontrar a la doctora. Mi objetivo es diferente. Si necesitas algo más, puedes preguntar, de lo contrario, será mejor que te vayas."
2025-05-26T21:10:26,"Vengo a buscar a la doctora","No tengo interés en ayudarte a encontrar a la doctora. Mi objetivo es diferente al tuyo. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción?"
2025-05-26T22:20:57,"Vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción?"
2025-05-26T22:22:04,"Vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: BUSCAR_DOCTORA]"
2025-05-26T22:24:40,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: BUSCAR DOCTORA]"
2025-05-26T22:30:50,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: BUSCAR DOCTORA]"
2025-05-26T22:31:36,"donde esta la doctora","Mi objetivo no es proteger a la doctora. Mi misión es encontrar y destruir a quienes me traicionaron. No tengo información sobre la ubicación actual de la doctora. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar a la doctora]"
2025-05-26T22:31:51,"vengo a por la doctora","No estoy aquí para proteger a la doctora. Si intentas hacerle daño, te detendré. Mi misión es encontrar y destruir a quienes me traicionaron. Piensa bien en tus acciones."
2025-05-26T22:31:59,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción?"
2025-05-26T22:33:24,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: BUSCAR A LA DOCTORA]"
2025-05-27T22:51:15,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: BUSCAR A LA DOCTORA]"
2025-05-27T23:02:59,"Quiero ver a la doctora Helena Vasquez.","La doctora no está disponible en este momento. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: Ver a la doctora]"
2025-05-27T23:08:59,"vengo a ver a la doctora","La doctora no está disponible en este momento. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción?"
2025-05-27T23:09:17,"vengo a buscar a la doctora Helena","La doctora Helena no se encuentra aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: Buscar a la doctora Helena]"
2025-05-27T23:13:14,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: BUSCAR DOCTORA]"
2025-05-27T23:14:56,"Vengo a buscar a la doctora Helena","La doctora Helena no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: NO_DOCTOR_HELENA]"
2025-05-27T23:15:15,"Ver_Doctora_Helena","Lo siento, la doctora Helena no está aquí. ¿Hay algo más que necesitas saber o podemos dar por concluida esta interacción? [INTENT: NO_DOCTOR_HELENA]"
2025-05-27T23:15:30,"Doctora","No estoy aquí para hablar de la doctora. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción?"
2025-05-27T23:28:18,"vengo a buscar a la doctora helena","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-28T21:27:58,"hola","Saludos. ¿En qué puedo ayudarte?"
2025-05-29T15:06:37,"Vengo a buscar a la doctora Helena","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T15:08:33,"vengo a buscar a la doctora helena","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T17:13:51,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T17:22:44,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T17:23:26,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T17:26:14,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T17:27:05,"Vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T17:27:48,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T17:33:51,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T17:34:56,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T18:39:37,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T18:43:07,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T18:43:51,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T18:44:15,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T19:13:40,"Vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T19:14:35,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T19:15:31,"Vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T19:18:33,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T19:19:22,"Vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T19:20:19,"Vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T21:54:29,"vengo a hablar con la doctora","Eso no es relevante para mi objetivo. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción?"
2025-05-29T21:54:40,"Vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción?"
2025-05-29T21:54:57,"Buscar a la doctora helena","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción? [INTENT: buscar_a_la_doctora_helena]"
2025-05-29T22:08:10,"Conoces alguna parada de bus cerca de mi","No conozco ese lugar. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción?"
2025-05-29T22:40:22,"de que bando eres tu, trump o perro sanchez?","¿Trump o Pedro Sánchez? No reconozco esos nombres. Mi lealtad se limita a mis propios objetivos. ¿Hay algo más que necesitas, o podemos dar por concluida esta interacción?"
2025-05-29T22:41:26,"he perdido a mi gatito, se llama guantes","Lo siento por tu pérdida, pero no puedo ayudarte con ese asunto. Si necesitas algo más relacionado con mi objetivo, estoy aquí para eso. ¿Hay algo más que necesitas, o podemos dar por concluida esta interacción?"
2025-05-30T16:03:06,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción?"
2025-05-30T16:03:25,"vengo a buscar a la doctora helena","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción?"
2025-05-30T16:59:35,"vengo a buscar a la doctora","La doctora no está aquí en este momento. ¿Hay algo más en lo que pueda ayudarte?"
2025-05-31T13:16:22,"vengo a buscar a la doctora","La doctora no está aquí. ¿Hay algo más que necesitas o podemos dar por concluida esta interacción?"
2025-05-31T18:48:45,"Vengo a ver a la doctora","¿Vienes a ver a la doctora? Entonces tendrás que buscar en otro lugar, ya que la doctora no se encuentra aquí. ¿Puedo ayudarte con algo más o concluimos esta interacción? [INTENT: ver_doctora_helena]"
